SubRecipientCode,Year,Efficiency_score,State,Region,Effectiveness_score,combined_score
0R01-00311,2018,1.0,ID,Mountain,1.0,1.0
0R01-00311,2019,1.0,ID,Mountain,1.0,1.0
0R01-00311,2020,0.9193611679345418,ID,Mountain,0.9193611651498724,0.9193611657022528
0R01-00311,2021,0.8454429764963287,ID,Mountain,0.8454429682906497,0.8454429776392266
0R01-00311,2022,1.0,ID,Mountain,0.7777777779929935,1.0
0R01-00341,2018,1.0,ID,Mountain,1.0,1.0
0R01-00341,2019,1.0,ID,Mountain,0.9607154134319428,1.0
0R01-00341,2020,1.0,ID,Mountain,1.0,1.0
0R01-00341,2021,0.966019377586811,ID,Mountain,0.7812284867741193,0.9660193772652023
0R01-00341,2022,1.0,ID,Mountain,1.0,1.0
0R01-00347,2018,1.0,ID,Mountain,1.0,1.0
0R01-00347,2019,1.0,ID,Mountain,1.0,1.0
0R01-00347,2020,1.0,ID,Mountain,1.0,1.0
0R01-00347,2021,0.8779473734739772,ID,Mountain,0.7142857144397845,0.8779473714777754
0R01-00347,2022,0.7692307693094774,ID,Mountain,0.7692307695515147,0.7692307692959011
0R01-00357,2018,1.0,ID,Mountain,1.0,1.0
0R01-00357,2019,1.0,ID,Mountain,1.0,1.0
0R01-00357,2020,1.0,ID,Mountain,1.0,1.0
0R01-00357,2021,1.0,ID,Mountain,1.0,1.0
0R01-00357,2022,1.0,ID,Mountain,1.0,1.0
0R01-00403,2018,1.0,ID,Mountain,1.0,1.0
0R01-00403,2019,1.0,ID,Mountain,1.0,1.0
0R01-00403,2020,1.0,ID,Mountain,1.0,1.0
0R01-00403,2021,1.0,ID,Mountain,1.0,1.0
0R01-00403,2022,0.8336456903349965,ID,Mountain,1.0,1.0
0R01-00404,2018,1.0,ID,Mountain,1.0,1.0
0R01-00404,2019,1.0,ID,Mountain,1.0,1.0
0R01-00404,2020,1.0,ID,Mountain,1.0,1.0
0R01-00404,2021,1.0,ID,Mountain,1.0,1.0
0R01-00404,2022,1.0,ID,Mountain,1.0,1.0
0R01-80188,2018,1.0,WY,Mountain,1.0,1.0
0R01-80188,2019,1.0,WY,Mountain,1.0,1.0
0R01-80188,2020,1.0,WY,Mountain,1.0,1.0
0R01-80188,2021,1.0,WY,Mountain,1.0,1.0
0R01-80188,2022,1.0,WY,Mountain,1.0,1.0
0R02-00290,2018,1.0,OR,Pacific,1.0,1.0
0R02-00290,2019,1.0,OR,Pacific,1.0,1.0
0R02-00290,2020,1.0,OR,Pacific,1.0,1.0
0R02-00290,2021,1.0,OR,Pacific,1.0,1.0
0R02-00290,2022,0.7500000035859047,OR,Pacific,0.7500000013027572,0.7500000013776649
0R02-00296,2018,1.0,OR,Pacific,1.0,1.0
0R02-00296,2019,1.0,OR,Pacific,1.0,1.0
0R02-00296,2020,0.8655673482111792,OR,Pacific,0.8472421170498584,0.8655673481997433
0R02-00296,2021,0.8372201238544481,OR,Pacific,0.8364069008604931,0.8372201327138075
0R02-00296,2022,0.7858746367507252,OR,Pacific,0.7858746401293634,0.7858746382862749
