Year,SubRecipientCode,City,State,Mode,Basic Information - Subrecipient Reporter Type,Total Operating Expense,Total Active Revenue Vehicles,Annual Vehicle Revenue Miles,Total Unlinked Passenger Trips
2018,0R01-00288,Moscow,ID,All,Rural Reporter,"$7,413",4.0,15308.0,4023.0
2018,0R01-00291,Spokane,WA,All,Rural Reporter,,,219000.0,9605.0
2018,0R01-00304,Rexburg,ID,All,Rural Reporter,,,1773656.0,77135.0
2018,0R01-00306,Marsing,ID,All,Rural Reporter,"$1,523",2.0,779.0,174.0
2018,0R01-00311,Ketchum,ID,All,Rural Reporter,"$2,722,290",35.0,851065.0,536583.0
2018,0R01-00341,Ponderay,ID,All,Rural Reporter,"$516,231",8.0,167051.0,69822.0
2018,0R01-00342,St. Maries,ID,All,Rural Reporter,"$242,093",13.0,92075.0,25449.0
2018,0R01-00347,Lewiston,ID,All,Rural Reporter,"$590,539",10.0,84099.0,161322.0
2018,0R01-00357,Twin Falls,ID,All,Rural Reporter,"$545,266",12.0,87298.0,19938.0
2018,0R01-00402,Driggs,ID,All,Rural Reporter,"$89,612",3.0,88367.0,33965.0
2018,0R01-00403,Salmon,ID,All,Rural Reporter,"$156,627",4.0,32097.0,16747.0
2018,0R01-00404,Wallace,ID,All,Rural Reporter,"$160,723",3.0,72632.0,19345.0
2018,0R01-80188,Jackson,WY,All,Rural Reporter,"$272,195",3.0,59367.0,33696.0
2018,0R02-00290,Cottage Grove,OR,All,Rural Reporter,"$384,165",9.0,95684.0,17310.0
2018,0R02-00296,Tillamook,OR,All,Rural Reporter,"$2,652,488",27.0,1000590.0,146236.0
2018,0R02-00300,Silverton,OR,All,Rural Reporter,"$134,787",3.0,16915.0,7604.0
2018,0R02-00301,Molalla,OR,All,Rural Reporter,"$704,934",6.0,263135.0,90996.0
2018,0R02-00307,Coos Bay,OR,All,Rural Reporter,"$745,900",16.0,229075.0,48220.0
2018,0R02-00308,Gold Beach,OR,All,Rural Reporter,"$509,965",13.0,241166.0,31843.0
2018,0R02-00310,Newport,OR,All,Rural Reporter,"$1,874,646",16.0,504181.0,321833.0
2018,0R02-00313,John Day,OR,All,Rural Reporter,"$394,348",8.0,224936.0,37507.0
2018,0R02-00319,Hood River,OR,All,Rural Reporter,"$906,545",17.0,182918.0,35564.0
2018,0R02-00321,McMinnville,OR,All,Rural Reporter,"$2,033,018",22.0,713512.0,281048.0
2018,0R02-00323,Ontario,OR,All,Rural Reporter,"$725,754",18.0,260239.0,49123.0
2018,0R02-00325,Seattle,WA,All,Rural Reporter,,,716939.0,102509.0
2018,0R02-00326,Bend,OR,All,Rural Reporter,,,,
2018,0R02-00330,Canby,OR,All,Rural Reporter,"$1,679,387",13.0,223766.0,75038.0
2018,0R02-00331,Astoria,OR,All,Rural Reporter,"$1,958,700",18.0,557544.0,230768.0
2018,0R02-00339,Klamath Falls,OR,All,Rural Reporter,"$2,249,691",12.0,339403.0,297851.0
2018,0R02-00343,LaGrande,OR,All,Rural Reporter,"$1,576,275",38.0,553315.0,80820.0
2018,0R02-00348,Sweet Home,OR,All,Rural Reporter,"$720,257",14.0,311384.0,102274.0
2018,0R02-00351,Roseburg,OR,All,Rural Reporter,"$1,676,814",44.0,620933.0,138061.0
2018,0R02-00359,Pendleton,OR,All,Rural Reporter,"$369,704",6.0,106542.0,48462.0
2018,0R02-00360,Woodburn,OR,All,Rural Reporter,"$602,833",11.0,120513.0,35672.0
