Year,SubRecipientCode,City,State,Mode,Basic Information - Subrecipient Reporter Type,Total Operating Expense,Total Active Revenue Vehicles,Annual Vehicle Revenue Miles,Total Unlinked Passenger Trips,Region
2018,0R01-00311,Ketchum,ID,All,Rural Reporter,2722290.0,35.0,851065.0,536583.0,Mountain
2018,0R01-00341,Ponderay,ID,All,Rural Reporter,516231.0,8.0,167051.0,69822.0,Mountain
2018,0R01-00347,Lewiston,ID,All,Rural Reporter,590539.0,10.0,84099.0,161322.0,Mountain
2018,0R01-00357,Twin Falls,ID,All,Rural Reporter,545266.0,12.0,87298.0,19938.0,Mountain
2018,0R01-00403,Salmon,ID,All,Rural Reporter,156627.0,4.0,32097.0,16747.0,Mountain
2018,0R01-00404,Wallace,ID,All,Rural Reporter,160723.0,3.0,72632.0,19345.0,Mountain
2018,0R01-80188,Jackson,WY,All,Rural Reporter,272195.0,3.0,59367.0,33696.0,Mountain
2018,0R02-00290,Cottage Grove,OR,All,Rural Reporter,384165.0,9.0,95684.0,17310.0,Pacific
2018,0R02-00296,Tillamook,OR,All,Rural Reporter,2652488.0,27.0,1000590.0,146236.0,Pacific
2018,0R02-00300,Silverton,OR,All,Rural Reporter,134787.0,3.0,16915.0,7604.0,Pacific
2018,0R02-00301,Molalla,OR,All,Rural Reporter,704934.0,6.0,263135.0,90996.0,Pacific
2018,0R02-00307,Coos Bay,OR,All,Rural Reporter,745900.0,16.0,229075.0,48220.0,Pacific
2018,0R02-00308,Gold Beach,OR,All,Rural Reporter,509965.0,13.0,241166.0,31843.0,Pacific
2018,0R02-00310,Newport,OR,All,Rural Reporter,1874646.0,16.0,504181.0,321833.0,Pacific
2018,0R02-00313,John Day,OR,All,Rural Reporter,394348.0,8.0,224936.0,37507.0,Pacific
2018,0R02-00319,Hood River,OR,All,Rural Reporter,906545.0,17.0,182918.0,35564.0,Pacific
2018,0R02-00321,McMinnville,OR,All,Rural Reporter,2033018.0,22.0,713512.0,281048.0,Pacific
2018,0R02-00323,Ontario,OR,All,Rural Reporter,725754.0,18.0,260239.0,49123.0,Pacific
2018,0R02-00331,Astoria,OR,All,Rural Reporter,1958700.0,18.0,557544.0,230768.0,Pacific
2018,0R02-00339,Klamath Falls,OR,All,Rural Reporter,2249691.0,12.0,339403.0,297851.0,Pacific
2018,0R02-00343,LaGrande,OR,All,Rural Reporter,1576275.0,38.0,553315.0,80820.0,Pacific
2018,0R02-00348,Sweet Home,OR,All,Rural Reporter,720257.0,14.0,311384.0,102274.0,Pacific
2018,0R02-00359,Pendleton,OR,All,Rural Reporter,369704.0,6.0,106542.0,48462.0,Pacific
2018,0R02-00360,Woodburn,OR,All,Rural Reporter,602833.0,11.0,120513.0,35672.0,Pacific
2018,0R02-00363,Oregon City,OR,All,Rural Reporter,1433764.0,10.0,470684.0,117558.0,Pacific
2018,0R02-00374,Burns,OR,All,Rural Reporter,516689.0,8.0,154823.0,55926.0,Pacific
2018,0R02-00375,St. Helens,OR,All,Rural Reporter,1825556.0,25.0,738420.0,102364.0,Pacific
2018,0R02-00377,Lebanon,OR,All,Rural Reporter,312893.0,5.0,44085.0,20272.0,Pacific
2018,0R02-00389,Sandy,OR,All,Rural Reporter,1342311.0,10.0,347042.0,129776.0,Pacific
2018,0R02-00396,The Dalles,OR,All,Rural Reporter,559302.0,8.0,100718.0,26145.0,Pacific
2018,0R03-00033,Mukilteo,WA,All,Rural Reporter,809550.0,10.0,290123.0,21292.0,Pacific
2018,0R03-00282,Pomeroy,WA,All,Rural Reporter,211644.0,3.0,54632.0,9555.0,Pacific
2018,0R03-00286,Colville,WA,All,Rural Reporter,1232434.0,9.0,518826.0,23417.0,Pacific
2018,0R03-00287,Moses Lake,WA,All,Rural Reporter,1252475.0,29.0,467602.0,28066.0,Pacific
2018,0R03-00294,Pullman,WA,All,Rural Reporter,4789151.0,29.0,458267.0,1385831.0,Pacific
2018,0R03-00297,Yakima,WA,All,Rural Reporter,1572791.0,22.0,397410.0,56346.0,Pacific
2018,0R03-00298,Coupeville,WA,All,Rural Reporter,11450814.0,172.0,2589543.0,798022.0,Pacific
2018,0R03-00299,Goldendale,WA,All,Rural Reporter,924629.0,16.0,419631.0,17023.0,Pacific
2018,0R03-00303,Port Angeles,WA,All,Rural Reporter,9541632.0,86.0,2029064.0,845438.0,Pacific
2018,0R03-00309,Moses Lake,WA,All,Rural Reporter,6304632.0,61.0,1727660.0,318069.0,Pacific
2018,0R03-00312,Ellensburg,WA,All,Rural Reporter,1330036.0,22.0,273125.0,104438.0,Pacific
2018,0R03-00314,Hoquiam,WA,All,Rural Reporter,9151504.0,77.0,1739778.0,925802.0,Pacific
2018,0R03-00315,Shelton,WA,All,Rural Reporter,7202446.0,61.0,1177391.0,459666.0,Pacific
